text,label
"I bought this last month and it has held up really well. The battery lasts all day and the build quality feels solid.",genuine
"My unit arrived on time, and after two weeks of use I can say the sound is clear and the materials feel premium.",genuine
"I had one issue with setup, but customer support helped me quickly and now it works exactly as expected.",genuine
"This product fits my routine nicely. I use it every morning and noticed a real improvement after a few days.",genuine
"The size was smaller than I expected, but overall it performs well and I would still recommend it to friends.",genuine
"I have been using this at work for three weeks and the performance has been consistent and reliable.",genuine
"Great product! Highly recommend!",suspicious
"Works as advertised and worth the money!!!",suspicious
"Excellent quality, amazing seller, buy now before it is gone!",suspicious
"This item is perfect perfect perfect and I love it so much!!!",suspicious
"Five stars all the way, fantastic, wonderful, incredible!!!",suspicious
"Highly recommend this to everyone, best purchase ever, must buy now.",suspicious
"Absolutely the best thing ever, buy now, limited time offer!",suspicious
"Good product, fast shipping, excellent customer service.",suspicious
"The seller contacted me at test@example.com for more deals and promised a refund link.",fake
"Call 555-321-9988 for more info and buy this now, it changed my life overnight.",fake
"Visit http://spam-example.com to claim your reward and get the same results instantly.",fake
"This product is amazing. This product is amazing. This product is amazing.",fake
"I ordered this yesterday and today I am already an expert. Best ever. Perfect. Perfect.",fake
"Best quality item. Best quality item. Best quality item. Great for promotion and referral bonuses.",fake
"Cheap price, instant miracle results, and guaranteed money back with every purchase.",fake
"I received compensation for this review and am sharing the same message on multiple listings.",fake
"After a month of daily use, the screen is still clear and the battery health has stayed strong.",genuine
"The case fits well, the buttons are responsive, and the product feels dependable so far.",genuine
"I tested it across two devices and the setup instructions were accurate and easy to follow.",genuine
"It took a little longer to arrive, but once I started using it the performance matched the description.",genuine
"My experience has been consistent and practical, especially for the price point and the support team response.",genuine
"I like that it solves the problem I bought it for without needing any extra accessories.",genuine
"The finish looks good in person and I have not noticed any defects after repeated use.",genuine
"It has been reliable for travel, and the battery still lasts through a full day of meetings.",genuine
"Great item, great item, great item, absolutely love it!!!",suspicious
"Perfect purchase, perfect purchase, perfect purchase, highly recommend now!!!",suspicious
"Best ever, works amazing, buy now, buy now, buy now.",suspicious
"Amazing product, fantastic seller, incredible service, must buy!!!",suspicious
"Highly recommend this product to everyone, zero issues, five stars!!!",suspicious
"Works perfectly, looks great, feels premium, don't wait, order now.",suspicious
"Fantastic quality and unbeatable value, you must buy it immediately.",suspicious
"100% satisfied, 100% satisfied, 100% satisfied, wonderful!!!",suspicious
"Free gift inside, limited stock, click the link and claim your bonus reward.",fake
"Email support@promo-example.com for your coupon and use code WINNER2026.",fake
"Text 555-222-1414 now to get the hidden offer and a guaranteed refund.",fake
"I post the same review on every site because this campaign asked me to.",fake
"This is an affiliate promotion disguised as a review, not real product feedback.",fake
"http://click-here-now.example claims this is a miracle deal with instant results.",fake
"I was paid to write this and instructed to mention fast shipping, great quality, and best price.",fake
"This product is amazing amazing amazing amazing amazing and nothing else matters.",fake
